best_x,best_y,step
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,0
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,1
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,2
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,3
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,4
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,5
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,6
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,7
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,8
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,9
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,10
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,11
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,12
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,13
"[-0.5975026496691972, -0.7921479069990119, -0.12446797610378986]",-0.23148518937961893,14
"[-0.5975026496691972, -0.7921479069990119, -0.12446797610378986]",-0.23148518937961893,15
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,16
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,17
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,18
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,19
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,20
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,21
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,22
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,23
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,24
"[-0.5701397031871687, -0.8148838238092331, -0.10442735534183595]",-0.23273127124709847,25
"[-0.5703741925958864, 0.8152298195355917, -0.10036743376492864]",-0.23276858582219845,26
"[-0.5703741925958864, 0.8152298195355917, -0.10036743376492864]",-0.23276858582219845,27
"[-0.5756684432848019, 0.8114804887398962, -0.10052492129075165]",-0.23278345082086063,28
