elbo,step
-1.1560585202235303,1
-1.0797752340249338,2
-1.0231528160500214,3
-0.9819061147579159,4
-0.9505169626396459,5
-0.9244203157105406,6
-0.9013467161094635,7
-0.8794180998347926,8
-0.8579777440164381,9
-0.8382147766566439,10
-0.8202416975552858,11
-0.803126664061562,12
-0.7887422310200503,13
-0.7752699165359563,14
-0.7625526954530653,15
-0.7513397344798696,16
-0.741238674795565,17
-0.7300788927005133,18
-0.7200068859575618,19
-0.7109995416500636,20
-0.7012358954014432,21
-0.6926004323202294,22
-0.6839180530691461,23
-0.6759806969172262,24
-0.6682548778024502,25
-0.6611116790604077,26
-0.6537538464583549,27
-0.6466040080312346,28
-0.6401182867664085,29
-0.6332037535344229,30
-0.6264070309901577,31
-0.6197590837567228,32
-0.6135501585924249,33
-0.6075183651115739,34
-0.6015367956719547,35
-0.5954385255785366,36
-0.5896946597234385,37
-0.5837061855276865,38
-0.5780990437319712,39
-0.5720343477117236,40
-0.5664675394892796,41
-0.56087316308461,42
-0.5550444275878718,43
-0.5498434076475076,44
-0.5442916830904501,45
-0.5385197517908584,46
-0.5329606139514789,47
-0.527409886181581,48
-0.5219374329602983,49
-0.5166694278776485,50
-0.511269814081464,51
-0.505892576077325,52
-0.5008547210735771,53
-0.49541180420995296,54
-0.4901698669313273,55
-0.4849893255435491,56
-0.4793962056061032,57
-0.47418646145270327,58
-0.4691388821952252,59
-0.46392322865966396,60
-0.4586401926019629,61
-0.4534687727817772,62
-0.44821163374949735,63
-0.4430138486134161,64
-0.438008651216922,65
-0.43311839992026835,66
-0.42793143916689697,67
-0.4226983896154125,68
-0.4175853839952646,69
-0.4125329500456457,70
-0.40744626191172306,71
-0.40238375209654953,72
-0.3976916920797454,73
-0.392677695171398,74
-0.38731243623788425,75
-0.38228953759013706,76
-0.377269965927885,77
-0.3722186609983954,78
-0.36735810202664987,79
-0.3621135954737806,80
-0.3574219447761759,81
-0.35195426151845227,82
-0.34726641431139865,83
-0.3420423964666513,84
-0.337048298390567,85
-0.33257947137860105,86
-0.3274642377175668,87
-0.3221287556097884,88
-0.3175387800274913,89
-0.31233101433678256,90
-0.3072304723960058,91
-0.3026031617231186,92
-0.2974648708349872,93
-0.2922934588105991,94
-0.28757019022092184,95
-0.28258595928341335,96
-0.2778569886868735,97
-0.2726014720481064,98
-0.26765642029465725,99
-0.26276894480772384,100
-0.25766309052519437,101
-0.2527086527574235,102
-0.2479169866715636,103
-0.24287230540457266,104
-0.2381543968344651,105
-0.2330503496016652,106
-0.2281417330086212,107
-0.22326035008273498,108
-0.2183522024360805,109
-0.21308347880854442,110
-0.20826737203505896,111
-0.20336194243097303,112
-0.19861982623742785,113
-0.19357936809876602,114
-0.1885451863659159,115
-0.18350168468526754,116
-0.17863292457964333,117
-0.173781434680805,118
-0.1689905785583372,119
-0.1638811416583224,120
-0.15861729454304876,121
-0.1541930393529412,122
-0.1490353463795608,123
-0.1440804946933855,124
-0.13909080679616442,125
-0.13410649411658898,126
-0.12902431405218867,127
-0.12396411673607596,128
-0.11917221659792551,129
-0.11414272084852857,130
-0.10932606436535601,131
-0.10422535220626972,132
-0.09931869982851844,133
-0.09459134516782361,134
-0.08914328732018872,135
-0.08487988261920622,136
-0.0793107639857411,137
-0.07482689158096012,138
-0.06957618045081686,139
-0.06453543980207652,140
-0.059604038444401077,141
-0.05451140613838874,142
-0.04969319566493981,143
-0.04454060689342011,144
-0.039780068939387604,145
-0.0345434441635722,146
-0.029963744754319278,147
-0.024895885854672277,148
-0.020090334289677818,149
-0.015008957583295509,150
-0.009549771492739886,151
-0.005060768339834948,152
-0.00012853011230654077,153
0.004956781742953095,154
0.010202922856865446,155
0.01507509821376676,156
0.02037305053076114,157
0.02527021785012253,158
0.030161853611729593,159
0.035211844923739626,160
0.03979126336263774,161
0.045203113504707716,162
0.05015491976906631,163
0.054834536776496225,164
0.05999932316948923,165
0.06513004270598868,166
0.06990018116476744,167
0.07488858627726964,168
0.07989603661716572,169
0.08497236806570029,170
0.0898745478363901,171
0.0949601470901704,172
0.10012314060923103,173
0.10506450138752661,174
0.10997360378070345,175
0.11481426289785852,176
0.12022402607373875,177
0.12524092100363277,178
0.13000291026621946,179
0.13522149759548896,180
0.13987323574399696,181
0.14509934323579748,182
0.15015441132925547,183
0.15516476193100054,184
0.16042935362455796,185
0.1654301712358507,186
0.17026850844937727,187
0.17529652634203824,188
0.18050294414526133,189
0.18546414944661618,190
0.19044877834338042,191
0.195598984180324,192
0.20071577992548564,193
0.20542982341095453,194
0.21061597511329272,195
0.21554487431169403,196
0.22102244302612806,197
0.22587115906605953,198
0.230881915440074,199
0.23590221944286963,200
0.24114842383138807,201
0.24607161306658729,202
0.2512307134837009,203
0.25622562685500655,204
0.2611188160326813,205
0.2664023684824931,206
0.27131112981304195,207
0.2763829455907613,208
0.28192888320633896,209
0.28646500550721743,210
0.29171384332928324,211
0.29673340559719874,212
0.3017745929344801,213
0.3072701388878511,214
0.3121792006786622,215
0.3172878094787037,216
0.32235369199357045,217
0.3271497846903815,218
0.3324078232217148,219
0.33748994809560806,220
0.34235704084469554,221
0.3475033930763953,222
0.3528233650877334,223
0.3578266286725718,224
0.36315599913957064,225
0.36824688265150574,226
0.3730213219489035,227
0.37843807573345756,228
0.3834510185941795,229
0.3885610362457196,230
0.39363515705199337,231
0.398297182636814,232
0.4039740758299695,233
0.4090016872868053,234
0.4141665604241906,235
0.4192174172481553,236
0.4245501309172554,237
0.4295772483749575,238
0.4344366232335511,239
0.4398959112720813,240
0.4449970382229962,241
0.4498113870623923,242
0.4550370957293122,243
0.4603912762285603,244
0.4654706681831066,245
0.4707917162598038,246
0.475485653158853,247
0.4806778977136685,248
0.48576858306863996,249
0.49103466579074667,250
0.4961963311854779,251
0.5015111150431737,252
0.5063224612742822,253
0.5117442366170973,254
0.5167079045672132,255
0.5217032412370644,256
0.5269867465630386,257
0.5320085473931366,258
0.5372462856930671,259
0.5423798748966283,260
0.5474787701416606,261
0.5525900045036194,262
0.5575092886640272,263
0.562929869735209,264
0.5680134320465134,265
0.5727484433814809,266
0.5783741842922903,267
0.5835032031933265,268
0.5884616097043306,269
0.5938076837342425,270
0.5986259042597142,271
0.6040291511415897,272
0.6089523524455811,273
0.6140344205718982,274
0.6195823099413533,275
0.6244833337200534,276
0.6294699709869761,277
0.6342131181854632,278
0.6396133840888688,279
0.6448740871367583,280
0.6500459526729203,281
0.6549505522053075,282
0.6604334840913232,283
0.6654681149330737,284
0.6702981811063908,285
0.6750250123443469,286
0.6800543671658525,287
0.6853101979496505,288
0.6909822925002495,289
0.6957490323018817,290
0.7005527024738575,291
0.705981919980143,292
0.7110766349438764,293
0.716188883084713,294
0.7213710926029328,295
0.7266212001661378,296
0.7315871966232492,297
0.7367672272953033,298
0.7413714159080745,299
0.7465042714899672,300
0.7521490807872234,301
0.7569410266520397,302
0.761526423202749,303
0.7669374079342435,304
0.772570697022483,305
0.7775231142091057,306
0.7824740196398599,307
0.7877997607569063,308
0.7929212077887758,309
0.7977252245286078,310
0.8030073234855974,311
0.80773733786929,312
0.8120976686521362,313
0.81717460421869,314
0.8229648610626457,315
0.8273045652649097,316
0.8324804871603428,317
0.8377996734282636,318
0.8422876807373058,319
0.8477131312141359,320
0.8527035191247497,321
0.8580652805745788,322
0.8631390165518378,323
0.8678155007169008,324
0.8733660248564512,325
0.877794237839655,326
0.882575790227828,327
0.888290986676554,328
0.8935185638856178,329
0.8981909510914923,330
0.9036322886708723,331
0.9079096064318086,332
0.9128735864105515,333
0.918761882592114,334
0.923587612662712,335
0.9280335019888849,336
0.9338762172704117,337
0.9386118923457266,338
0.9433197650631623,339
0.9482436710821867,340
0.9530667654900311,341
0.9580943992492642,342
0.9635698408803848,343
0.9683098855440482,344
0.9732341593056754,345
0.9787597721443302,346
0.9840576632494793,347
0.9885753290978185,348
0.9938889906726296,349
0.9987003094467226,350
1.003367854403377,351
1.0086599450555696,352
1.0133857891352993,353
1.0186767318679488,354
1.0238972726665372,355
1.0282411972575702,356
1.0329339778495767,357
1.0381348568273228,358
1.0437300741090958,359
1.0487537699840725,360
1.0532429588210341,361
1.0584773192179298,362
1.0636233362778316,363
1.0683272923960985,364
1.0735461516738423,365
1.0788263276539058,366
1.0833941078968572,367
1.0882519865121303,368
1.093479829151691,369
1.0982026363259119,370
1.1030185230094105,371
1.108016061219684,372
1.1130155834173734,373
1.1173169724346157,374
1.122075775516532,375
1.1269305533805567,376
1.1320179910691652,377
1.1369986354970212,378
1.141519211949257,379
1.1452559170635017,380
1.1493723665314721,381
1.1555627751905437,382
