best_x,best_y,step
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,0
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,1
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,2
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,3
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,4
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,5
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,6
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,7
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,8
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,9
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,10
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,11
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,12
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,13
"[-0.6257379866478878, -0.7710298874916325, -0.11817311310314425]",-0.229401617588383,14
"[-0.5498940579014092, -0.8288266651369505, -0.10326124269387232]",-0.2321424701633721,15
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,16
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,17
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,18
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,19
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,20
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,21
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,22
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,23
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,24
"[-0.5718546470527419, -0.8120654987036752, -0.11632664552601603]",-0.2324691502147327,25
"[-0.5746711907591682, -0.8125849890364479, -0.0972556327627114]",-0.23279495090872815,26
"[-0.5746711907591682, -0.8125849890364479, -0.0972556327627114]",-0.23279495090872815,27
"[-0.5746711907591682, -0.8125849890364479, -0.0972556327627114]",-0.23279495090872815,28
