best_x,best_y,step
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,0
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,1
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,2
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,3
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,4
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,5
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,6
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,7
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,8
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,9
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,10
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,11
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,12
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,13
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,14
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,15
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,16
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,17
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,18
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,19
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,20
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,21
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,22
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,23
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,24
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,25
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,26
"[-0.7069853012940908, -0.6847295575098141, -0.1769667110688277]",-0.20523674151276075,27
"[-0.5799431108818779, -0.8051991778440931, -0.12377508691108417]",-0.23211893203885983,28
